level,age,gender,marital_status,faculty,department,skill,prep_before,prep_after,quality_before,quality_after,confidence_before,confidence_after,cgpa_before,cgpa_after,employment,quit_job,cgpa_change
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9974687617787956,3.9190870266886226,Yes,No,-0.07838173509017299
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9956197462064944,3.968664858483307,Yes,No,-0.026954887723187326
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.031612265475029,3.585950807128474,No,No,-0.4456614583465548
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9598597783174756,4.051120123071457,No,No,0.09126034475398148
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.022359379924776,3.7777546069915995,Yes,No,-0.2446047729331764
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.9456776242795795,3.6015254934266316,No,No,-0.3441521308529478
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.992664522553019,3.633465118018461,No,No,-0.3591994045345581
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.991768390375609,3.7991689193896034,Yes,No,-0.19259947098600572
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.034307733075812,3.9095035055995266,No,No,-0.12480422747628506
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.998696769779924,3.978219443292218,No,No,-0.020477326487705838
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.979948879586614,3.9693043272833557,Yes,Yes,-0.010644552303258337
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.041972796711171,4.103637233280346,Yes,No,0.061664436569174974
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.0493806049737975,3.882914141471956,Yes,No,-0.16646646350184158
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.977575544234019,3.600999375783762,No,No,-0.3765761684502569
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.0206904164079615,3.9078067042131774,No,No,-0.1128837121947841
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9851022625280845,4.012202184616892,Yes,No,0.027099922088807293
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.004158689317945,4.375647745469259,No,No,0.37148905615131333
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.007120728678294,3.797072161406709,No,No,-0.21004856727158527
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9592755107435416,3.924742837436929,Yes,No,-0.03453267330661269
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.001088910083244,3.794741012088666,No,No,-0.20634789799457742
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.965943353309484,3.798482678502988,No,No,-0.16746067480649618
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.968206189392476,3.587135326065952,Yes,Yes,-0.38107086332652385
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9848023451685197,3.6782081607121704,Yes,No,-0.30659418445634934
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9371515006884517,4.1039826514667475,Yes,No,0.1668311507782958
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9530014025075224,3.7573104363834813,No,No,-0.19569096612404113
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.006327009901192,3.4295700813389214,No,No,-0.5767569285622702
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.019199372997415,4.056739706627151,Yes,No,0.03754033362973619
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.025691284404122,3.9261579087766703,No,No,-0.09953337562745146
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9846058212798647,3.78001591280233,No,No,-0.2045899084775349
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.0208543936883965,3.652952966188723,Yes,No,-0.3679014274996737
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.048034863496477,4.0709467614546195,No,No,0.02291189795814219
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.035881429491002,3.8374328505159467,No,No,-0.19844857897505497
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9558884778847148,4.213335867763244,Yes,Yes,0.25744738987852944
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9445450848668853,4.1989053850529645,Yes,No,0.25436030018607925
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.011662577530147,4.254260079700282,Yes,No,0.24259750217013565
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.037939433699538,3.6954387732831524,No,No,-0.3425006604163858
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9983468191683875,4.074161274532225,No,No,0.07581445536383713
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.028826836429984,3.6866917024407866,Yes,No,-0.3421351339891978
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.006737851053922,4.129893068788685,No,No,0.12315521773476323
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.006086460379416,4.123832323754863,No,No,0.1177458633754469
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.008352288042088,4.233473968106084,Yes,No,0.2251216800639959
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.005982079768491,3.9470156435437342,No,No,-0.05896643622475661
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.985876895325265,3.773043058746704,No,No,-0.21283383657856092
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.056704742138473,4.02081659428506,Yes,Yes,-0.03588814785341299
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.027813759681984,3.81303037596298,Yes,No,-0.2147833837190043
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9816746600079425,3.8029078132250445,Yes,No,-0.178766846782898
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.990187152456113,3.7913578818598506,No,No,-0.19882927059626265
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9665861026186464,3.484541650281568,No,No,-0.4820444523370786
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.014086410418544,3.992831795009081,Yes,No,-0.021254615409463273
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.9545330300291264,3.3736490067121774,No,No,-0.580884023316949
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9886874638212872,4.216596821371266,No,No,0.22790935754997887
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.022419341123661,3.7807516503909704,Yes,No,-0.24166769073269068
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.016579374612318,3.637004215697741,No,No,-0.37957515891457705
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.01700015280955,3.821682385225986,No,No,-0.19531776758356445
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.962227831543262,4.04960681484808,Yes,Yes,0.08737898330481819
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.022960686664359,3.940305588023549,Yes,No,-0.08265509864080967
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.994895866505444,3.1877093520337807,Yes,No,-0.8071865144716632
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.040441596644081,3.510448488584083,No,No,-0.529993108059998
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.990461777201834,3.5431909699919633,No,No,-0.44727080720987056
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.051520783946491,3.901820117248569,Yes,No,-0.14970066669792192
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.012050852215048,3.8936889368690863,No,No,-0.11836191534596185
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.022430988389776,3.8379823582395836,No,No,-0.18444863015019264
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.986837443501987,4.3972688872611965,Yes,No,0.41043144375920937
