level,age,gender,marital_status,faculty,department,skill,preparation_before,preparation_after,quality_before,quality_after,confidence_before,confidence_after,cgpa_before,cgpa_after,employment,quit_job,cgpa_change
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.8685762888219184,3.521037398804065,Yes,No,-0.3475388900178533
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.8522981608740956,4.567278680282658,Yes,No,0.7149805194085621
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.1691645207871835,4.05093783404004,No,No,-0.11822668674714354
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.537479107196225,3.6846185549429404,No,No,0.1471394477467154
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.087705144711664,3.683059308879595,Yes,No,-0.4046458358320688
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.4126240646195427,3.645657892452784,No,No,0.23303382783324134
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.8262813390223256,3.532930036056928,No,No,-0.2933513029653976
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.818392084620921,3.482304076668771,Yes,No,-0.3360880079521502
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.192894535364699,3.9895776740562003,No,No,-0.2033168613084988
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.8793872693581424,3.482870616340848,No,No,-0.39651665301729455
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.714336979955423,3.595434166860895,Yes,Yes,-0.11890281309452799
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.260375246968069,3.9113289258190123,Yes,Yes,-0.34904632114905665
