school,level,age,gender,relationship,faculty,department,strike_effect,challenge,work,skills,prep_before,prep_after,lecture,academic_act,courses_taken,course_unit,cgpa_before,cgpa_after,cgpa_change
university of lagos,400 Level,22,Male,Single,Engineering,Chemical engineering,I learned how to study better and my grades also got better.,Trying to remember things we were taught before the strike. Acclimatizing back into the hostel as well.,Worked in a role relevant to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,23,3.39,3.51,0.11999999999999966
university of lagos,400 Level,23,Female,Single,Engineering,Chemical engineering,It affected it in a negative way as it became difficult to pick up learning or the habit of reading. It also created pressure as there were a lot of things to cover in very little time. ,"Rekindling the student in me, lol. Trying to get back into the habit of studying hard and everyday. ",Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,23,4.44,4.5,0.05999999999999961
university of lagos,400 Level,21,Male,Dating,Engineering,Chemical engineering,It has actually helped me a bit. The extended time gives me a break from the school workload. I am however not grateful for it. ,Readapting to school,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,10,23,3.54,3.61,0.06999999999999984
university of lagos,400 Level,29,Male,Dating,Social Sciences,Political science,Good,Reading ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,,3.86,3.96,0.10000000000000009
university of lagos,100 Level,18,Female,Single,Engineering,Computer engineering,,,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,18,0.0,4.28,4.28
university of lagos,300 Level,24,Male,Single,Education,Educational foundations,Reluctance to concentrate on my studies ,Getting to dust my books and and assimilate ,Did not work during the strike,None of the above,Poorly,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,18,2.85,2.0,-0.8500000000000001
university of lagos,200 Level,20,Female,Single,Sciences,Statistics,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,5,15,4.0,3.8,-0.20000000000000018
university of lagos,300 Level,22,Female,Single,Sciences,Geosciences,My grades dropped by a large margin ,I couldn't face my books squarely ,Worked in a role unrelated to my studies,Volunteered for an event or organization,Very,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,21,3.66,3.5,-0.16000000000000014
university of lagos,400 Level,26,Male,Single,Education,Science tech. education,,,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,6,13,0.0,0.0,0.0
university of lagos,400 Level,21,Female,Single,Engineering,Petroleum & gas engineering,"The strike helped me with more time to study, while also providing me the opportunity to improve my skills and acquire some work experience.","Finding my books and getting back into study mode. Fortunately, it didn’t take too long to get re-adjusted.",Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,21,3.06,3.26,0.19999999999999973
university of lagos,300 Level,23,Female,Dating,Education,Educational foundations,Poorly ,Going back to assignments and exams,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,10,20,3.5,3.49,-0.009999999999999787
university of lagos,100 Level,20,Female,Single,Sciences,Cell biology & genetics,"I find it hard to read sometimes when I hear rumors of looming strikes. And it was really hard to become a proper student after a long time. I'll not also ignore the fact that when I'm productive at home during the strike and making some money, I question if I really should be in school. 
It's also really sad when I realize that I won't be able to graduate at the same time as my friends in other schools too.",Reading and assimilating as I did before I left school.,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,21,0.0,3.1,3.1
university of lagos,500 Level,25,Male,Single,Engineering,Surveying & geo-informatics engineering,Still the same,Prolonged graduating date,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,,3.42,3.72,0.30000000000000027
university of lagos,200 Level,20,Female,Dating,Sciences,Mathematics,"It has extended extra two years to my academics, and has made high hopes of my academics performances drop",To be able to study hard without the fearing on going back on strike,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,24,0.0,0.0,0.0
university of lagos,400 Level,25,Female,Dating,Management Sciences,Finance,Poor,Reading and writing exams,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,5,4.2,3.89,-0.31000000000000005
university of lagos,400 Level,22,Female,Single,Sciences,Marine science,Extra 1.7 months addition to normal graduation time.,The uncertainty ,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Very,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,3,9,4.16,4.08,-0.08000000000000007
university of lagos,400 Level,26,Female,Single,Management Science,Industrial relations & personnel management,Mildly ,Reading from where stopped ,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,16,3.833,3.883,0.04999999999999982
university of lagos,100 Level,22,Female,Single,Sciences,Marine science,It has been a draw back somehow,Feels good but somehow cos it was a long time,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,,0.0,3.3,3.3
university of lagos,400 Level,23,Female,Single,Engineering,Chemical engineering,Very badly,Everything was challenging. Especially the fact that I now have a job to attend to,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,,4.33,4.33,0.0
university of lagos,400 Level,20,Female,Dating,Management Sciences,Finance,In a bad way…. Like I  missed a lot of opportunities ,Exams,Did not work during the strike,Acquired skills relevant to course of study,Moderately,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,0,3.56,0.0,-3.56
university of lagos,500 Level,22,Male,Single,Engineering,Mechanical engineering,Somewhat positive ,Adapting,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,21,2.76,2.86,0.10000000000000009
university of lagos,Masters Program,26,Female,Single,Social Sciences,Mass communication,Not Much ,Work Overload ,Did not work during the strike,Acquired skills relevant to course of study,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,24,0.0,0.0,0.0
university of lagos,400 Level,21,Female,Single,Engineering,Computer engineering,"Has not affected my performance.
School is interfering with life ",Changing routines,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,11,20,3.38,3.48,0.10000000000000009
university of lagos,300 Level,23,Female,Single,Education,Educational foundations,"I hate Nigeria and Nigerian universities,the system is trash",Having to keep up with lectures and lecturers canceling lectures,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Poorly,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,,2.75,2.75,0.0
