Timestamp,Are you a student of the University of Lagos?,"If not, what is your university/institution?",What is your current academic level?,How old are you?,What is your gender?,What was your relationship status during the strike?,What is your faculty?,What is your department?,"Kindly input your department, if not listed in the previous question. ",How has the ASUU strike affected you and your academic performance?,What was the most challenging part of returning to academic life after the strike?,Did you undertake any work during the strike?,How did you develop yourself during the strike?,How prepared were you for the exams? [Before Strike],How prepared were you for the exams? [After Strike],How were your lectures affected by the strike?,How often did you engage in academic activities during the strike?,How many courses did you take in the affected semester? ,How many credit units did your courses add up to in the affected semester?,What was your CGPA before the strike?,What was your CGPA after the strike?
30/03/2023 22:08:09,Yes,,400 Level,22,Male,Single,Engineering,Chemical Engineering,,I learned how to study better and my grades also got better.,Trying to remember things we were taught before the strike. Acclimatizing back into the hostel as well.,Worked in a role relevant to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,23,3.39,3.51
30/03/2023 22:18:17,Yes,,400 Level,23,Female,Single,Engineering,Chemical Engineering,,It affected it in a negative way as it became difficult to pick up learning or the habit of reading. It also created pressure as there were a lot of things to cover in very little time. ,"Rekindling the student in me, lol. Trying to get back into the habit of studying hard and everyday. ",Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,23,4.44,4.5
04/04/2023 07:39:08,Yes,Nil,400 Level,21,Male,Dating,Engineering,Chemical Engineering,,It has actually helped me a bit. The extended time gives me a break from the school workload. I am however not grateful for it. ,Readapting to school,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,10,23,3.54,3.61
05/04/2023 15:05:49,Yes,,400 Level,29,Male,Dating,Social Sciences,Political Science,,Good,Reading ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,,3.86,3.96
05/04/2023 15:09:37,Yes,,100 Level,18,Female,Single,Engineering,Computer Engineering,,,,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,18,0,4.28
05/04/2023 15:09:59,Yes,,300 Level,24,Male,Single,Education,Educational Foundations,,Reluctance to concentrate on my studies ,Getting to dust my books and and assimilate ,Did not work during the strike,None of the above,Poorly,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,18,2.85,2
05/04/2023 15:10:42,Yes,,200 Level,20,Female,Single,Sciences,Statistics,,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,5,15,4,3.8
05/04/2023 15:11:52,Yes,,300 Level,22,Female,Single,Sciences,Geosciences,Geophysics ,My grades dropped by a large margin ,I couldn't face my books squarely ,Worked in a role unrelated to my studies,Volunteered for an event or organization,Very,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,21,3.66,3.5
05/04/2023 15:11:54,Yes,,400 Level,26,Male,Single,Education,Science Tech. Education,,,,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,6,13,0,0
05/04/2023 15:12:33,Yes,,400 Level,21,Female,Single,Engineering,Petroleum & Gas Engineering,,"The strike helped me with more time to study, while also providing me the opportunity to improve my skills and acquire some work experience.","Finding my books and getting back into study mode. Fortunately, it didn’t take too long to get re-adjusted.",Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,21,3.06,3.26
05/04/2023 15:12:55,Yes,,300 Level,23,Female,Dating,Education,Educational Foundations,,Poorly ,Going back to assignments and exams,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,10,20,3.5,3.49
05/04/2023 15:13:14,Yes,,100 Level,20,Female,Single,Sciences,Cell Biology & Genetics,,"I find it hard to read sometimes when I hear rumors of looming strikes. And it was really hard to become a proper student after a long time. I'll not also ignore the fact that when I'm productive at home during the strike and making some money, I question if I really should be in school. 
It's also really sad when I realize that I won't be able to graduate at the same time as my friends in other schools too.",Reading and assimilating as I did before I left school.,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,21,0,3.1
05/04/2023 15:13:56,Yes,,500 Level,25,Male,Single,Engineering,Surveying & Geo-Informatics Engineering,,Still the same,Prolonged graduating date,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,,3.42,3.72
05/04/2023 15:14:24,Yes,,200 Level,20,Female,Dating,Sciences,Mathematics,,"It has extended extra two years to my academics, and has made high hopes of my academics performances drop",To be able to study hard without the fearing on going back on strike,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,24,0,0
05/04/2023 15:14:33,Yes,,400 Level,25,Female,Dating,Management Science,Finance,,Poor,Reading and writing exams,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,5,4.2,3.89
05/04/2023 15:15:32,Yes,,400 Level,22,Female,Single,Sciences,Marine Science,,Extra 1.7 months addition to normal graduation time.,The uncertainty ,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Very,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,3,9,4.16,4.08
05/04/2023 15:17:53,Yes,,400 Level,26,Female,Single,Management Science,Industrial Relations & Personnel Management,,Mildly ,Reading from where stopped ,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,16,3.833,3.883
05/04/2023 15:24:48,Yes,,100 Level,22,Female,Single,Sciences,Marine Science,,It has been a draw back somehow,Feels good but somehow cos it was a long time,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,,0,3.3
05/04/2023 15:25:26,Yes,,400 Level,23,Female,Single,Engineering,Chemical Engineering,,Very badly,Everything was challenging. Especially the fact that I now have a job to attend to,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,,4.33,4.33
05/04/2023 15:26:28,Yes,Nil,400 Level,20,Female,Dating,Management Science,Finance,,In a bad way…. Like I  missed a lot of opportunities ,Exams,Did not work during the strike,Acquired skills relevant to course of study,Moderately,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,0,3.56,0
05/04/2023 15:27:38,Yes,,500 Level,22,Male,Single,Engineering,Mechanical Engineering,,Somewhat positive ,Adapting,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,21,2.76,2.86
